
line,dateIni,dateEnd,label,nameTo,nameFrom,parada,secuencia,sentido,distancia,descparada,descpostal,posX,posY
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,168,20,2,6429,Santo Domingo                                     ,"Gran Vía, 54                                           ",440081.28125,4474988.5
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,283,21,2,6746,Gran Vía-Plaza de España                          ,"Gran Via, 80                                           ",439838.625,4475192.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,1750,22,2,6943,Plaza de España                                   ,"Princesa, 4                                            ",439728.0,4475347.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,172,23,2,7095,Ventura Rodríguez                                 ,"Princesa, 16 frente al Nº 17 ( Ventura Rodríguez )     ",439657.0,4475481.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,734,24,2,7396,Princesa-Rey Francisco                            ,"Princesa, 32                                           ",439509.65625,4475743.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,736,25,2,7641,Argüelles                                         ,"Princesa frente al Nº 47, con C/ Alberto Aguilera.     ",439396.53125,4475958.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,738,26,2,7892,Altamirano                                        ,"Princesa, 72                                           ",439279.0,4476180.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,4816,27,2,8093,Moncloa                                           ,Pza. Moncloa con C/ Fdo.Católico (Antes de Arcos)      ,439182.0,4476358.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,4021,28,2,8438,Isaac Peral-Fernández de los Ríos                 ,"Isaac Peral, 12                                        ",439205.0,4476574.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,743,29,2,8760,Cristo Rey                                        ,"Isaac Peral, 42                                        ",439246.875,4476893.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,4514,30,2,9023,Cristo Rey                                        ,"Isaac Peral, frente al Nº 40.                          ",439221.0,4476870.0
002,2026-07-13,2999-12-31 23:59:59,2,PLAZA DE MANUEL BECERRA,AVENIDA REINA VICTORIA,3811,1,1,0,Manuel Becerra                                    ,Pza.Manuel Becerra con C/ Dr. Esquerdo                 ,443405.71875,4475630.0
002,2026-07-13,2999-12-31 23:59:59,2,PLAZA DE MANUEL BECERRA,AVENIDA REINA VICTORIA,148,2,1,277,Doctor Esquerdo-Goya                              ,"Doctor Esquerdo, 22                                    ",443367.0,4475370.0
002,2026-07-13,2999-12-31 23:59:59,2,PLAZA DE MANUEL BECERRA,AVENIDA REINA VICTORIA,150,3,1,640,O'Donnell                                         ,"Doctor Esquerdo, 40 (frente Nº 51 con C/ Duque de Sesto",443341.0,4475012.0
002,2026-07-13,2999-12-31 23:59:59,2,PLAZA DE MANUEL BECERRA,AVENIDA REINA VICTORIA,1256,4,1,1047,Hospital Gregorio Marañón                         ,"Doctor Esquerdo, 46                                    ",443313.0,4474613.0
002,2026-07-13,2999-12-31 23:59:59,2,PLAZA DE MANUEL BECERRA,AVENIDA REINA VICTORIA,199,5,1,1379,Ibiza-Maiquez                                     ,Ibiza frente al Nº 48                                  ,443035.0,4474606.0
002,2026-07-13,2999-12-31 23:59:59,2,PLAZA DE MANUEL BECERRA,AVENIDA REINA VICTORIA,2157,6,1,1703,Narváez-Ibiza                                     ,"Narvaez, 51                                            ",442753.4375,4474645.5
002,2026-07-13,2999-12-31 23:59:59,2,PLAZA DE MANUEL BECERRA,AVENIDA REINA VICTORIA,156,7,1,2064,O Donnell-Narváez                                 ,"O Donnell, 35                                          ",442730.0,4474988.0
002,2026-07-13,2999-12-31 23:59:59,2,PLAZA DE MANUEL BECERRA,AVENIDA REINA VICTORIA,158,8,1,2404,O Donnell-Retiro                                  ,"O Donnell, 9                                           ",442389.0,4474990.0
002,2026-07-13,2999-12-31 23:59:59,2,PLAZA DE MANUEL BECERRA,AVENIDA REINA VICTORIA,161,9,1,3168,Puerta de Alcalá                                  ,"Pza. de la Independencia, 3                            ",441643.0,4474876.0
002,2026-07-13,2999-12-31 23:59:59,2,PLAZA DE MANUEL BECERRA,AVENIDA REINA VICTORIA,69,10,1,3573,Cibeles                                           ,Pza. de Cibeles con Pº Recoletos                       ,441274.0,4474780.0
002,2026-07-13,2999-12-31 23:59:59,2,PLAZA DE MANUEL BECERRA,AVENIDA REINA VICTORIA,5135,11,1,3826,Círculo de Bellas Artes                           ,"Alcalá, 45                                             ",441041.5625,4474707.0
002,2026-07-13,2999-12-31 23:59:59,2,PLAZA DE MANUEL BECERRA,AVENIDA REINA VICTORIA,5137,12,1,4115,Gran Vía-Pedro Zerolo                             ,"Gran Via, 16                                           ",440773.25,4474792.5
002,2026-07-13,2999-12-31 23:59:59,2,PLAZA DE MANUEL BECERRA,AVENIDA REINA VICTORIA,4094,13,1,4333,Gran Vía-Montera                                  ,"Gran Vía, 28                                           ",440558.4375,4474837.0
